id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1.28666E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84483352,50,4,TRUE,24/7/2020 13:59,"Great job by @elonmusk in agreeing to build, in TEXAS, what is expected to be the largest auto plant anywhere in th… https://t.co/zwaAL4N06K",,Twitter for iPhone,48878,291579,FALSE
1.28665E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84483352,50,4,TRUE,24/7/2020 12:55,The great Jim Ryun will be honored this morning at the White House with the presentation of The Presidential Medal… https://t.co/00LSM7eo6U,,Twitter for iPhone,14157,69186,FALSE
1.28646E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84483352,50,4,TRUE,24/7/2020 0:18,Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!!!,,Twitter for iPhone,14436,84461,FALSE
1.28645E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84483352,50,4,TRUE,23/7/2020 23:43,WELCOME BACK BASEBALL! https://t.co/dhLSfNkI7L,,Twitter for iPhone,30149,171399,FALSE
1.2864E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84483352,50,4,TRUE,23/7/2020 20:53,White House Press Conference at 5:15 P.M. Live!,,Twitter for iPhone,14001,93386,FALSE
1.28637E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84483352,50,4,TRUE,23/7/2020 18:46,The Suburban Housewives of America must read this article. Biden will destroy your neighborhood and your American D… https://t.co/ufn2RFsvJU,,Twitter for iPhone,36402,102731,FALSE
1.28634E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84483352,50,4,TRUE,23/7/2020 16:29,"Obama, who wouldn’t even endorse Biden until everyone else was out of the primaries (and even then waited a long ti… https://t.co/njPe0J63N1",,Twitter for iPhone,45460,208541,FALSE
1.28633E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84483352,50,4,TRUE,23/7/2020 16:09,The Democrats have stated strongly that they won’t approve a Payroll Tax Cut (too bad!). It would be great for work… https://t.co/1c5HyGTBXG,,Twitter for iPhone,33839,120681,FALSE
1.28716E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 23:13,"My Administration is closely monitoring Hurricane Douglas off Hawaii &amp; Hurricane Hanna, which has now made landfall… https://t.co/HYfKIqiMAq",,Twitter for iPhone,13498,54286,FALSE
1.28712E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 20:15,"....And to Joy, his wonderful wife who he loved so much, my warmest condolences!!!",,Twitter for iPhone,15478,109445,FALSE
1.28712E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 20:15,"One of the greats in the history of television, Regis Philbin has passed on to even greater airwaves, at 88. He was… https://t.co/iNm7fbv9Qk",,Twitter for iPhone,29444,176627,FALSE
1.28699E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 12:01,@BrandonStraka Many Democrats are leaving the party over calls to Defund the Police. @foxandfriends @PeteHegseth  G… https://t.co/LzMin7aeeh,,Twitter for iPhone,9069,30008,FALSE
1.28699E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 11:43,"The Democrats in the House are trying to undo my big win Travel Ban Bill, which successfully keeps very bad and dan… https://t.co/yiRwbvDsj0",,Twitter for iPhone,30999,107431,FALSE
1.28698E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 11:09,"...to virtual pennies. Epi-pens went from their incredibly high, jacked up prices, to lower than their original giv… https://t.co/Rv9CSYMJmc",,Twitter for iPhone,29405,143551,FALSE
1.28698E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 11:09,"Yesterday I signed four measures that will massively reduce the prices of prescription drugs, in many cases by more… https://t.co/UMENw5nyxw",,Twitter for iPhone,48269,214646,FALSE
1.28688E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 4:17,Congratulations Jim. It was a great and beautiful event. Well deserved! https://t.co/I4iwvYx3DK,,Twitter for iPhone,10191,49412,FALSE
1.28687E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,25/7/2020 3:34,Wow. Win in 2020!!! https://t.co/q1XDB5BuTY,,Twitter for iPhone,16428,66581,FALSE
1.28681E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,24/7/2020 23:38,"So Obama and his team of lowlifes spied on my campaign, and got caught - Open and shut case! More papers released t… https://t.co/jVb50pLDVa",,Twitter for iPhone,76017,304112,FALSE
1.2868E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,24/7/2020 22:57,96% Approval Rating in the Republican Party. Thank you!,,Twitter for iPhone,31479,214286,FALSE
1.28673E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84533179,50,4,TRUE,24/7/2020 18:47,Congratulations @JimRyun! https://t.co/I4iwvYx3DK https://t.co/E0wBx1Gjh2,,Twitter for iPhone,9542,38139,FALSE
1.28795E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,28/7/2020 2:58,"....would destroy our American cities, and worse, if Sleepy Joe Biden, the puppet of the Left, ever won. Markets wo… https://t.co/lBR8Kcty96",,Twitter for iPhone,24141,108231,FALSE
1.28795E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,28/7/2020 2:58,"The Fake News Media is trying to portray the Portland and Seattle “protesters” as wonderful, sweet and innocent peo… https://t.co/CmYCAHUEQn",,Twitter for iPhone,39387,163952,FALSE
1.28789E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,27/7/2020 22:59,MAKE AMERICA GREAT AGAIN!,,Twitter for iPhone,80150,501143,FALSE
1.28788E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,27/7/2020 22:41,"So disgusting to watch Twitter’s so-called “Trending”, where sooo many trends are about me, and never a good one. T… https://t.co/2jXMbVZaGN",,Twitter for iPhone,61150,318057,FALSE
1.28788E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,27/7/2020 22:28,"Anarchists, Agitators or Protestors who vandalize or damage our Federal Courthouse in Portland, or any Federal Buil… https://t.co/v7S60pByOO",,Twitter for iPhone,38538,146967,FALSE
1.28775E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,27/7/2020 13:57,"Homeland Security or Federal Forces are little involved in Seattle, other than we have a large standby team in case… https://t.co/pG82EtqegZ",,Twitter for iPhone,26756,111332,FALSE
1.28755E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,27/7/2020 1:03,"Rigged Election, and EVERYONE knows it! https://t.co/mjuB6wz95B",,Twitter for iPhone,15774,53902,FALSE
1.28755E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,27/7/2020 1:01,Where is JUSTICE? https://t.co/sJTDSCDXGi,,Twitter for iPhone,19087,59894,FALSE
1.28754E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,27/7/2020 0:06,"He is, and people are not happy about it. The Washington Post is a political front for Amazon. Nobody treated Ronal… https://t.co/hW5flidWSN",,Twitter for iPhone,11688,37866,FALSE
1.28754E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 23:57,Nice! https://t.co/4yvPax9J3B,,Twitter for iPhone,23440,129952,FALSE
1.28754E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 23:54,"We do more testing than any country in the World, by far, over 55 million tests. Fake News @CNN says we should do m… https://t.co/IqjIxonfTt",,Twitter for iPhone,14018,48314,FALSE
1.28752E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 22:37,The “protesters” are actually anarchists who hate our Country. The line of innocent “mothers” were a scam that Lame… https://t.co/eYse7yD3Kp,,Twitter for iPhone,24614,80254,FALSE
1.28749E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 20:51,"The 2020 Election will be totally rigged if Mail-In Voting is allowed to take place, &amp; everyone knows it. So much t… https://t.co/ulD2VTrJPd",,Twitter for iPhone,45128,173371,FALSE
1.28747E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 19:44,"Because of my strong focus on the China Virus, including scheduled meetings on Vaccines, our economy and much else,… https://t.co/RCuaQWosOq",,Twitter for iPhone,20893,114060,FALSE
1.28747E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 19:37,"The Lamestream Media, including @FoxNews, which has really checked out, is refusing to show what is REALLY going on… https://t.co/0j5xTQldb0",,Twitter for iPhone,35168,116105,FALSE
1.28747E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 19:31,"There is NO WAY a place like Pennsylvania can vote for the Radical Left and their puppet, Joe Biden, when they are… https://t.co/wFNvPKvour",,Twitter for iPhone,29285,124315,FALSE
1.28746E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 18:30,"So the Washington Post is running the Reagan Foundation, and RINO Paul Ryan is on the Board of Fox, which has been… https://t.co/lCg3WdD9RH",,Twitter for iPhone,15519,49133,FALSE
1.28737E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 13:06,"The Trump Campaign has more ENTHUSIASM, according to many, than any campaign in the history of our great Country -… https://t.co/tvJxbKoKp2",,Twitter for iPhone,31303,126463,FALSE
1.28737E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 12:57,Crazy Nancy Pelosi said I made a mistake when I banned people from infected China from entering the U.S. in January… https://t.co/OE7qVmr3LC,,Twitter for iPhone,43473,200437,FALSE
1.28737E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 12:46,"Brett LOVES Wisconsin, Mississippi and Minnesota. A good golfer - hits it LONG! https://t.co/JcBJJEWI0X",,Twitter for iPhone,12993,80909,FALSE
1.28737E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 12:38,"This week you had Joe Biden call Arizona a CITY. Nothing matters with him, however, because the Opposition Party (L… https://t.co/fhfPSfuDuD",,Twitter for iPhone,31334,125805,FALSE
1.28725E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84588986,50,4,TRUE,26/7/2020 4:57,Thank you Jon! https://t.co/vWVriDTnDb,,Twitter for iPhone,31738,136581,FALSE
